name,tel,address,city,state,zip,lat,lng
Brier Creek Healthplex,919-350-8000,8001 T.W. Alexander Drive,Raleigh,NC,27617,35.907875,-78.77296
Garner Healthplex, 919-350-8000, 400 US Highway 70, East Garner, NC,27529,35.655625,-78.584906
Garner Office, 919-235-6565, 811 US 70, WestGarner, NC,27529,35.655625,-78.584906
North Hospital, 919-350-8000, 10000 Falls of Neuse Road, Raleigh, NC,27614,35.945927000000005,-78.61949200000001
Raleigh - Orthopaedic Urgent Care, 833-678-4682, Wake Orthopaedics North Hospital Physician Office Pavilion 10010 Falls of Neuse Road Suite 10, Raleigh, NC,27614,35.945927000000005,-78.61949200000001
Children’s Hospital,919-350-8000,3000 New Bern Avenue,Raleigh, NC,27610,35.7444,-78.546278
Raleigh Campus Adult, 919-350-8000, 3000 New Bern Avenue, Raleigh, NC,27610,35.7444,-78.546278
Forestville Crossing Office, 919-235-6500,2930 Forestville Road, Raleigh, NC,27616,35.866734,-78.541216
Fuquay-Varina Office, 919-235-6560, 231 N. Judd Parkway, Fuquay-Varina, NC,27526,35.54401,-78.829824
Morrisville - Children's Urgent Care, 919-467-7425, 6402 McCrimmon Parkway Suite 300, Morrisville, NC,27560,35.857892,-78.827698
